drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],2.3999999999999915,0.3691,0.0008352100000000021,0.0008352100000000021
[3],2.4099999999999913,0.3679,0.0009060100000000009,0.0009060100000000009
[3],2.419999999999991,0.3642,0.0011424399999999998,0.0011424399999999998
[3],2.429999999999991,0.37,0.0007840000000000014,0.0007840000000000014
[3],2.4399999999999906,0.3707,0.0007452900000000025,0.0007452900000000025
[3],2.4499999999999904,0.3648,0.0011022400000000004,0.0011022400000000004
[3],2.45999999999999,0.3608,0.0013838400000000008,0.0013838400000000008
[3],2.46999999999999,0.3668,0.0009734400000000003,0.0009734400000000003
[3],2.4799999999999898,0.3624,0.0012673600000000014,0.0012673600000000014
[3],2.4899999999999896,0.3552,0.0018318400000000004,0.0018318400000000004
[3],2.4999999999999893,0.3536,0.0019713599999999997,0.0019713599999999997
[3],2.509999999999989,0.3555,0.0018062500000000032,0.0018062500000000032
[3],2.519999999999989,0.3619,0.0013032100000000015,0.0013032100000000015
[3],2.5299999999999887,0.3562,0.0017472400000000004,0.0017472400000000004
[3],2.5399999999999885,0.357,0.001681000000000003,0.001681000000000003
[3],2.5499999999999883,0.3568,0.0016974400000000012,0.0016974400000000012
[3],2.559999999999988,0.3543,0.0019096900000000014,0.0019096900000000014
[3],2.569999999999988,0.3544,0.0019009600000000023,0.0019009600000000023
[3],2.5799999999999876,0.3571,0.001672810000000004,0.001672810000000004
[3],2.5899999999999874,0.343,0.0030249999999999995,0.0030249999999999995
[3],2.599999999999987,0.3523,0.002088490000000002,0.002088490000000002
[3],2.609999999999987,0.357,0.001681000000000003,0.001681000000000003
[3],2.619999999999987,0.351,0.002209000000000004,0.002209000000000004
[3],2.6299999999999866,0.3478,0.002520040000000002,0.002520040000000002
[3],2.6399999999999864,0.3416,0.0031809600000000005,0.0031809600000000005
[3],2.649999999999986,0.3529,0.0020340100000000028,0.0020340100000000028
[3],2.659999999999986,0.3427,0.0030580900000000016,0.0030580900000000016
[3],2.6699999999999857,0.3387,0.0035164900000000023,0.0035164900000000023
[3],2.6799999999999855,0.3469,0.0026112100000000036,0.0026112100000000036
[3],2.6899999999999853,0.34,0.0033639999999999994,0.0033639999999999994
[3],2.699999999999985,0.3417,0.003169690000000002,0.003169690000000002
[3],2.709999999999985,0.3471,0.0025908100000000002,0.0025908100000000002
[3],2.7199999999999847,0.3524,0.0020793600000000028,0.0020793600000000028
[3],2.7299999999999844,0.343,0.0030249999999999995,0.0030249999999999995
[3],2.7399999999999842,0.3454,0.002766760000000004,0.002766760000000004
[3],2.749999999999984,0.3379,0.003612010000000005,0.003612010000000005
[3],2.759999999999984,0.3468,0.0026214400000000022,0.0026214400000000022
[3],2.7699999999999836,0.3467,0.002631690000000001,0.002631690000000001
[3],2.7799999999999834,0.3386,0.003528360000000001,0.003528360000000001
[3],2.789999999999983,0.3331,0.004212010000000002,0.004212010000000002
[3],2.799999999999983,0.3332,0.004199040000000003,0.004199040000000003
[3],2.8099999999999827,0.3357,0.003881290000000003,0.003881290000000003
[3],2.8199999999999825,0.3327,0.004264090000000003,0.004264090000000003
[3],2.8299999999999823,0.3348,0.003994240000000004,0.003994240000000004
[3],2.839999999999982,0.3328,0.0042510400000000045,0.0042510400000000045
[3],2.849999999999982,0.3341,0.004083210000000001,0.004083210000000001
[3],2.8599999999999817,0.3345,0.00403225,0.00403225
[3],2.8699999999999815,0.3397,0.003398890000000002,0.003398890000000002
[3],2.8799999999999812,0.3341,0.004083210000000001,0.004083210000000001
[3],2.889999999999981,0.336,0.0038439999999999998,0.0038439999999999998
[3],2.899999999999981,0.3355,0.00390625,0.00390625
[3],2.9099999999999806,0.3342,0.004070440000000003,0.004070440000000003
[3],2.9199999999999804,0.3311,0.004475610000000002,0.004475610000000002
[3],2.92999999999998,0.3248,0.005358240000000006,0.005358240000000006
[3],2.93999999999998,0.3297,0.004664890000000004,0.004664890000000004
[3],2.9499999999999797,0.3379,0.003612010000000005,0.003612010000000005
[3],2.9599999999999795,0.3282,0.004872040000000004,0.004872040000000004
[3],2.9699999999999793,0.3404,0.0033177600000000047,0.0033177600000000047
[3],2.979999999999979,0.3369,0.0037332100000000055,0.0037332100000000055
[3],2.989999999999979,0.3345,0.00403225,0.00403225
