drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],1.4100000000000004,0.8652,2.3040000000000254e-05,2.3040000000000254e-05
[3],1.4200000000000004,0.86,0.00010000000000000018,0.00010000000000000018
[3],1.4300000000000004,0.8605,9.02499999999991e-05,9.02499999999991e-05
[3],1.4400000000000004,0.8613,7.569000000000072e-05,7.569000000000072e-05
[3],1.4500000000000004,0.8589,0.00012320999999999998,0.00012320999999999998
[3],1.4600000000000004,0.8482,0.0004752400000000018,0.0004752400000000018
[3],1.4700000000000004,0.8528,0.00029583999999999974,0.00029583999999999974
[3],1.4800000000000004,0.8481,0.00047961000000000135,0.00047961000000000135
[3],1.4900000000000004,0.8431,0.0007236100000000019,0.0007236100000000019
[3],1.5000000000000004,0.8464,0.0005569599999999978,0.0005569599999999978
[3],1.5100000000000005,0.8401,0.0008940100000000023,0.0008940100000000023
[3],1.5200000000000005,0.8391,0.0009548100000000023,0.0009548100000000023
[3],1.5300000000000005,0.8369,0.0010956100000000012,0.0010956100000000012
[3],1.5400000000000005,0.8275,0.0018062499999999984,0.0018062499999999984
[3],1.5500000000000005,0.8356,0.001183359999999999,0.001183359999999999
[3],1.5600000000000005,0.8315,0.0014822499999999983,0.0014822499999999983
[3],1.5700000000000005,0.8244,0.0020793599999999975,0.0020793599999999975
[3],1.5800000000000005,0.8252,0.0020070399999999955,0.0020070399999999955
[3],1.5900000000000005,0.8179,0.0027144100000000035,0.0027144100000000035
[3],1.6000000000000005,0.8174,0.002766759999999998,0.002766759999999998
[3],1.6100000000000005,0.8222,0.0022848399999999955,0.0022848399999999955
[3],1.6200000000000006,0.8091,0.0037088099999999942,0.0037088099999999942
[3],1.6300000000000006,0.8041,0.004342809999999995,0.004342809999999995
[3],1.6400000000000006,0.8094,0.0036723599999999986,0.0036723599999999986
[3],1.6500000000000006,0.806,0.004095999999999993,0.004095999999999993
[3],1.6600000000000006,0.7935,0.0058522500000000015,0.0058522500000000015
[3],1.6700000000000006,0.8003,0.004858089999999998,0.004858089999999998
[3],1.6800000000000006,0.7967,0.005372890000000004,0.005372890000000004
[3],1.6900000000000006,0.7977,0.005227290000000004,0.005227290000000004
[3],1.7000000000000006,0.7928,0.005959840000000007,0.005959840000000007
[3],1.7100000000000006,0.7929,0.005944409999999992,0.005944409999999992
[3],1.7200000000000006,0.7877,0.0067732900000000065,0.0067732900000000065
[3],1.7300000000000006,0.7763,0.008779690000000001,0.008779690000000001
[3],1.7400000000000007,0.7804,0.008028160000000003,0.008028160000000003
[3],1.7500000000000007,0.7707,0.009860489999999989,0.009860489999999989
[3],1.7600000000000007,0.7587,0.01238768999999999,0.01238768999999999
[3],1.7700000000000007,0.7719,0.009623609999999993,0.009623609999999993
[3],1.7800000000000007,0.7657,0.010878489999999989,0.010878489999999989
[3],1.7900000000000007,0.7569,0.012791609999999995,0.012791609999999995
[3],1.8000000000000007,0.7588,0.012365439999999993,0.012365439999999993
[3],1.8100000000000007,0.7589,0.012343209999999995,0.012343209999999995
[3],1.8200000000000007,0.7479,0.014908409999999997,0.014908409999999997
[3],1.8300000000000007,0.7515,0.014042250000000011,0.014042250000000011
[3],1.8400000000000007,0.7518,0.013971239999999994,0.013971239999999994
[3],1.8500000000000008,0.7476,0.014981759999999988,0.014981759999999988
[3],1.8600000000000008,0.738,0.017424000000000002,0.017424000000000002
[3],1.8700000000000008,0.7392,0.01710864000000001,0.01710864000000001
[3],1.8800000000000008,0.7377,0.017503289999999994,0.017503289999999994
[3],1.8900000000000008,0.7266,0.02056355999999999,0.02056355999999999
[3],1.9000000000000008,0.7333,0.01868689000000001,0.01868689000000001
[3],1.9100000000000008,0.7266,0.02056355999999999,0.02056355999999999
[3],1.9200000000000008,0.7218,0.02196324,0.02196324
[3],1.9300000000000008,0.7184,0.02298255999999999,0.02298255999999999
[3],1.9400000000000008,0.7196,0.022620159999999993,0.022620159999999993
[3],1.9500000000000008,0.7165,0.02356224999999999,0.02356224999999999
[3],1.9600000000000009,0.7097,0.025696089999999998,0.025696089999999998
[3],1.9700000000000009,0.7122,0.02490083999999998,0.02490083999999998
[3],1.9800000000000009,0.7042,0.027489639999999982,0.027489639999999982
[3],1.9900000000000009,0.709,0.02592100000000001,0.02592100000000001
