drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],0.8300000000000003,0.9276,0.003203559999999998,0.003203559999999998
[3],0.8400000000000003,0.9226,0.002662559999999998,0.002662559999999998
[3],0.8500000000000003,0.9184,0.00224676,0.00224676
[3],0.8600000000000003,0.9236,0.002766759999999998,0.002766759999999998
[3],0.8700000000000003,0.9173,0.0021436900000000006,0.0021436900000000006
[3],0.8800000000000003,0.9153,0.0019624900000000003,0.0019624900000000003
[3],0.8900000000000003,0.9091,0.0014516100000000018,0.0014516100000000018
[3],0.9000000000000004,0.9095,0.0014822499999999983,0.0014822499999999983
[3],0.9100000000000004,0.9014,0.000924159999999999,0.000924159999999999
[3],0.9200000000000004,0.9001,0.0008468100000000009,0.0008468100000000009
[3],0.9300000000000004,0.8963,0.0006400899999999994,0.0006400899999999994
[3],0.9400000000000004,0.8996,0.0008179599999999977,0.0008179599999999977
[3],0.9500000000000004,0.8923,0.0004536899999999994,0.0004536899999999994
[3],0.9600000000000004,0.8848,0.00019044000000000095,0.00019044000000000095
[3],0.9700000000000004,0.8843,0.00017688999999999943,0.00017688999999999943
[3],0.9800000000000004,0.878,4.9000000000000087e-05,4.9000000000000087e-05
[3],0.9900000000000004,0.8806,9.216000000000101e-05,9.216000000000101e-05
[3],1.0000000000000004,0.876,2.5000000000000045e-05,2.5000000000000045e-05
[3],1.0100000000000005,0.8802,8.463999999999975e-05,8.463999999999975e-05
[3],1.0200000000000005,0.8707,8.999999999998017e-08,8.999999999998017e-08
[3],1.0300000000000005,0.8706,1.5999999999996475e-07,1.5999999999996475e-07
[3],1.0400000000000005,0.8585,0.0001562499999999989,0.0001562499999999989
[3],1.0500000000000005,0.859,0.00014400000000000025,0.00014400000000000025
[3],1.0600000000000005,0.8609,0.00010200999999999995,0.00010200999999999995
[3],1.0700000000000005,0.8505,0.0004202499999999985,0.0004202499999999985
[3],1.0800000000000005,0.8484,0.0005107599999999979,0.0005107599999999979
[3],1.0900000000000005,0.8457,0.0006400899999999994,0.0006400899999999994
[3],1.1000000000000005,0.8371,0.0011492100000000027,0.0011492100000000027
[3],1.1100000000000005,0.8239,0.0022184100000000027,0.0022184100000000027
[3],1.1200000000000006,0.8324,0.0014899599999999974,0.0014899599999999974
[3],1.1300000000000006,0.8268,0.0019536400000000017,0.0019536400000000017
[3],1.1400000000000006,0.8184,0.002766759999999998,0.002766759999999998
[3],1.1500000000000006,0.8165,0.0029702499999999994,0.0029702499999999994
[3],1.1600000000000006,0.809,0.0038439999999999933,0.0038439999999999933
[3],1.1700000000000006,0.8127,0.003398890000000002,0.003398890000000002
[3],1.1800000000000006,0.7989,0.005198409999999992,0.005198409999999992
[3],1.1900000000000006,0.7965,0.005550250000000001,0.005550250000000001
[3],1.2000000000000006,0.7958,0.005655040000000007,0.005655040000000007
[3],1.2100000000000006,0.7938,0.005959840000000007,0.005959840000000007
[3],1.2200000000000006,0.7784,0.008574760000000002,0.008574760000000002
